,"E[r]_40,Cov_40","E[r]_40,Cov_40","E[r]_40,Cov_40","E[r]_40,Cov_40","E[r]_40,Cov_40","E[r]_40,Cov_40","E[r]_80,Cov_80","E[r]_80,Cov_80","E[r]_80,Cov_80","E[r]_80,Cov_80","E[r]_80,Cov_80","E[r]_80,Cov_80","E[r]_120,Cov_120","E[r]_120,Cov_120","E[r]_120,Cov_120","E[r]_120,Cov_120","E[r]_120,Cov_120","E[r]_120,Cov_120",SPY
,beta= -1,beta=-0.5,beta=0,beta=0.5,beta=1.0,beta=1.5,beta= -1,beta=-0.5,beta=0,beta=0.5,beta=1.0,beta=1.5,beta= -1,beta=-0.5,beta=0,beta=0.5,beta=1.0,beta=1.5,
cum_return,0.3493180725821698,0.34996235502804285,0.34820049924411667,0.343988226927548,0.33742182441756663,0.32863126274477633,0.8596752810303583,0.8435306107197914,0.8291180945617266,0.8103372249755328,0.7870018601624181,0.7600782336812392,1.848478487788083,1.7980360113167926,1.737934036828972,1.6692502575324246,1.5931729865472737,1.5109690544778438,0.9622644860857924
ari_mean_return,-0.0031496827944249737,-0.0031200400502497897,-0.0030894016989145862,-0.003058514101519291,-0.0030272600534633014,-0.0029956465981768638,0.0001228391904892339,5.620306243463417e-05,2.121114152206703e-05,-1.1240333494878091e-05,-4.346287211842665e-05,-7.295160682097514e-05,0.002727213199031638,0.00256440345330483,0.002401130322702704,0.002237395667329363,0.0020732011968885044,0.001908548631815104,-6.245810579956952e-05
geo_mean_return,-1.0333784133503832,-1.031557885959128,-1.0365442496044763,-1.0485683294135517,-1.0676080199027438,-1.0936828278513278,-0.1420552320570423,-0.16085191948730926,-0.1779371527352025,-0.20065021085213797,-0.2296132382413052,-0.26411211970991944,0.6181548695973205,0.5906402000674382,0.5568347286733499,0.5167463621625346,0.470378253117576,0.41772893658503785,-0.030253886413200703
daily_min_return,-50.7415806207807,-52.458204133308506,-54.17245946489328,-55.88500249808113,-57.595683530266356,-59.304357968792395,-36.24578210951736,-35.87810020396387,-35.38372060755957,-34.886547185678516,-34.38956038840021,-34.592713504277064,-15.154334216491034,-14.492773088813955,-13.830065138608818,-14.844382171837843,-16.29098884585695,-17.73897869591625,-7.40841558366076
drawdown,-0.41112488811095216,-0.4115392479110428,-0.41465574630242996,-0.4216138142409339,-0.4286771772645226,-0.4358413089940185,-0.254003916039227,-0.2642309694995333,-0.27423455877445824,-0.2841372243717514,-0.2939947155983983,-0.3037409158254212,-0.22418748838229952,-0.19572787746242704,-0.16699650590476878,-0.14271563869982362,-0.1389343134383546,-0.16600801238045393,-0.07481031908260205
vol,10.977022151901112,11.095253860202561,11.37026777557393,11.791755886518171,12.344544561117202,13.011868907895991,9.287817696806481,9.349380201611632,9.576979041450992,9.960527108842962,10.48408786505793,11.125947958316337,5.65430444729378,5.038357773142229,4.6768872217324855,4.630071694200752,4.907101579983268,5.459052165887611,2.702260537016772
sharpe_ratio,-0.00028693417493736947,-0.0002812049268598554,-0.00027170878996811,-0.00025937732522229124,-0.00024523059870499827,-0.0002302241606783339,1.3225839965772677e-05,6.011421208963773e-06,2.21480504763153e-06,-1.1284878171657117e-06,-4.145603573514738e-06,-6.556889093342006e-06,0.0004823251426330459,0.0005089760530653048,0.000513403511537582,0.0004832313223425333,0.0004224899695057003,0.0003496117226615263,-2.3113280508666907e-05
skewness,-0.42026769508097145,-0.4494286384968867,-0.4373068116327887,-0.39270855010829786,-0.32854451700252923,-0.2570827361775813,0.06382046389312232,0.10599038670196975,0.17320803398548137,0.2517826302318067,0.3301767228672336,0.39974697531475245,0.19561387218343004,0.33037518065323374,0.4220011331105062,0.40176747415759195,0.2893064865013801,0.17168489868332457,-0.2992389827518149
kurtosis,2.2593337177907697,2.2194122330164197,2.118308051244913,1.9788379617576917,1.8257477190719715,1.6778105641379621,1.9243034187905446,2.002703827810854,2.1217389388552252,2.29402535907837,2.498563398648856,2.705784019989723,1.7293609327620354,1.9523966669394106,2.2276558261417723,2.3492665719129358,2.322542421905524,2.333571620378499,0.4516728113825428
modified_VaR,-124.0717227863543,-125.91235233118663,-128.77602997054774,-132.63606815429418,-137.46290270155393,-143.223857927895,-93.07534367979866,-92.98860988184059,-93.98561723324688,-96.1367176780055,-99.43190706388638,-103.80883602400046,-51.24721587621596,-44.045820653210065,-39.88005732766033,-39.80746798641267,-43.71471031840145,-50.44263947738807,-29.479498071326876
C_VaR,-159.72905905734783,-162.31744753688517,-166.71532217663932,-171.76108787383862,-177.4483694285802,-185.09564902532347,-132.10653024554492,-130.90784169832057,-132.27843626934902,-136.20595988171115,-142.46272479240648,-152.2939296532611,-77.03391995887786,-64.88818120845471,-60.11641314348709,-61.09448693420289,-67.05813993851409,-77.56697232679305,-39.76630930678015
