,"E[r]_40,Cov_40","E[r]_40,Cov_40","E[r]_40,Cov_40","E[r]_40,Cov_40","E[r]_40,Cov_40","E[r]_40,Cov_40","E[r]_80,Cov_80","E[r]_80,Cov_80","E[r]_80,Cov_80","E[r]_80,Cov_80","E[r]_80,Cov_80","E[r]_80,Cov_80","E[r]_120,Cov_120","E[r]_120,Cov_120","E[r]_120,Cov_120","E[r]_120,Cov_120","E[r]_120,Cov_120","E[r]_120,Cov_120",SPY
,beta= -1,beta=-0.5,beta=0,beta=0.5,beta=1.0,beta=1.5,beta= -1,beta=-0.5,beta=0,beta=0.5,beta=1.0,beta=1.5,beta= -1,beta=-0.5,beta=0,beta=0.5,beta=1.0,beta=1.5,
cum_return,0.06585255658181756,0.07789264243227512,0.08740595479344729,0.09814307126220201,0.10413217938319985,0.10448336286521316,0.0074180154278361485,0.006415953376004741,0.005209301883507433,0.0037076437161676352,0.00239837507976286,0.0014315864056142324,0.01296886773421707,0.01172414170251008,0.010111605213267589,0.007457299795107418,0.004919377373593878,0.003011100492204412,0.3466733767476315
ari_mean_return,0.0028357455123355886,0.002605997458555953,0.0024177204656671376,0.002348368790679218,0.002276816079408803,0.0022034191622606132,-0.004317080904702311,-0.004168617554389724,-0.00406316294483263,-0.004080053324942896,-0.004107154727797966,-0.004134256130653043,-0.0029773069301534394,-0.002810375456328072,-0.002639078449034179,-0.002536018793663431,-0.0024604988407799767,-0.002383723295975774,-0.00013041227710233126
geo_mean_return,-0.7917160810257673,-0.7205403196012261,-0.6716835781738761,-0.6225496477944015,-0.5974262664284746,-0.5959982188615265,-1.7154216474884743,-1.776693065606627,-1.8646286402461687,-2.008087592264507,-2.191738165888885,-2.4091106443297763,-1.4794222601524076,-1.5220650647745082,-1.5845850282833196,-1.7131913696962764,-1.8887927592528553,-2.09583544661493,-0.08676478280419953
daily_min_return,-99.387675581517,-91.51476173323205,-83.71351952718264,-76.23971140077667,-75.9138609309582,-79.43536510257145,-62.48706245181142,-71.88672580664114,-85.29689521516826,-97.37635496231522,-109.70994117523182,-122.04352738814883,-66.6761807736232,-76.13180811309476,-85.56702343172415,-96.74326882754305,-108.63478908936852,-120.5443680570652,-24.611927300831255
drawdown,-0.6772415622721116,-0.6654318752835204,-0.6524766676830671,-0.6380977087781978,-0.6512325723690842,-0.6642404754978679,-0.6177937796520492,-0.6271809949469076,-0.6355989049383377,-0.6637807932784755,-0.6979011283175581,-0.7293598646476888,-0.595022855574936,-0.6022030901242601,-0.6095109469035038,-0.6476793301871998,-0.7081882968177068,-0.7607597387012087,-0.24948291712286852
vol,27.2189709512581,26.00954267966086,25.05853557371098,24.36882316348447,23.903402898047602,23.676119913873045,17.696915825639834,18.99613593276276,20.39689677588925,21.975756713233327,23.822196046540224,25.83489834676712,19.069136125032667,20.104764578952278,21.322928654984793,22.98223057984731,24.899477188306506,26.93563647546643,5.212664228493498
sharpe_ratio,0.00010418268631145721,0.00010019389770331527,9.648291132397931e-05,9.63677554276867e-05,9.525070924503264e-05,9.306504487542817e-05,-0.0002439453827568978,-0.0002194455529874411,-0.00019920495698324124,-0.0001856615623381913,-0.00017240873678371318,-0.00016002602662341762,-0.00015613223958504512,-0.000139786538921737,-0.00012376716593371078,-0.0001103469389036249,-9.881728930178084e-05,-8.84970102023363e-05,-2.501835364523785e-05
skewness,0.12167965435473546,0.06680862308559286,0.008197049258391141,-0.04876469866009705,-0.09906175685121729,-0.13412139876728726,0.026436230592602465,0.04468648621361735,0.0764369411089753,0.1138489244137494,0.15849267785887783,0.20540208940148236,0.1751602018796072,0.16506997592685174,0.16498152569196772,0.17106405335590405,0.18438276219325678,0.20228934769743692,0.401739462946169
kurtosis,1.6399063149142146,1.4104859176382503,1.2263289398027668,1.100813778935425,1.02356516914179,1.008693365660596,2.4711028459977697,2.9526805259458486,3.517163773846746,4.022256992821289,4.49349648384196,4.913109275467573,3.296694990851729,3.6044388376087424,3.976405225509316,4.354095808327928,4.726010835021689,5.078915300504779,7.589950389943882
modified_VaR,-266.97503545435757,-258.6358280347996,-252.5687053877093,-248.5006389343782,-246.17275029293367,-245.42812265830204,-184.50223675625,-195.51780270480447,-206.63923682378268,-219.250571249656,-233.79397561992445,-249.4262878172436,-188.98496939610126,-198.31219284408905,-208.77914969038505,-223.1734216208576,-239.54513986789655,-256.59192382796886,-45.51890088490222
C_VaR,-379.0170695901738,-368.2859349149377,-359.9021737022411,-352.5017445977116,-347.93226509741214,-347.1885108769481,-273.1855077154297,-298.4392276757731,-324.04559008650756,-351.58183000278075,-381.96967268644585,-412.35751537011237,-292.78261002533634,-312.4804883128097,-334.70950427710943,-364.0484029592709,-395.33741715876937,-426.71370178865635,-79.48970773422619
